asn=0    	id=-1  	Main	copying configuration file /home/tegsingh/tsch-sim/examples/NullRouting/config.json to output directory /home/tegsingh/tsch-sim/results/2021-08-04_15-07-30/config.json[MAIN]
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	initializing 6tisch minimal infrastructure
asn=0    	id=-1  	Main	creating 1 "root" nodes...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type root
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: CONNECTIONS
asn=0    	id=-1  	Main	creating 5 "leaf" nodes...[SIMULATOR]
asn=0    	id=-1  	Node	Keys for Node Type leaf
asn=0    	id=-1  	Node	Key: NAME
asn=0    	id=-1  	Node	Key: START_ID
asn=0    	id=-1  	Node	Key: COUNT
asn=0    	id=-1  	Node	Key: ROUTING_IS_LEAF
asn=0    	id=-1  	Node	Key: CONNECTIONS
asn=0    	id=-1  	Node	Key: APP_PACKETS
asn=0    	id=-1  	Main	generating a star network with 6 nodes
asn=0    	id=1   	Main	set position x=124.30 y=124.30[SIMULATOR]
asn=0    	id=2   	Main	set position x=162.71 y=242.51[SIMULATOR]
asn=0    	id=3   	Main	set position x=23.74 y=197.35[SIMULATOR]
asn=0    	id=4   	Main	set position x=23.74 y=51.24[SIMULATOR]
asn=0    	id=5   	Main	set position x=162.71 y=6.08[SIMULATOR]
asn=0    	id=6   	Main	set position x=248.59 y=124.30[SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=10 warmup=100 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	*** initializing 6tisch minimal, slotframe_size=7
asn=0    	id=1   	Node	Slotframe added [NODE]
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from NullRouting for 1
asn=0    	id=1   	Node	File Read successfully
asn=0    	id=1   	Node	File loaded into struct successfully
asn=0    	id=1   	Node	On node becomes root called from 6Tisch Min [SCHEDULER]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from NullRouting
asn=0    	id=2   	TSCH	*** initializing 6tisch minimal, slotframe_size=7
asn=0    	id=2   	Node	Slotframe added [NODE]
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from NullRouting
asn=0    	id=2   	Node	scanning on channel=26...[NODE]
asn=0    	id=3   	TSCH	*** initializing 6tisch minimal, slotframe_size=7
asn=0    	id=3   	Node	Slotframe added [NODE]
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from NullRouting
asn=0    	id=3   	Node	scanning on channel=26...[NODE]
asn=0    	id=4   	TSCH	*** initializing 6tisch minimal, slotframe_size=7
asn=0    	id=4   	Node	Slotframe added [NODE]
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Main	Local repair method called from NullRouting
asn=0    	id=4   	Node	scanning on channel=15...[NODE]
